article_id	talk_page_id	talk_page_title
141966	141966	Talk:Lists_of_mathematicians
341726	341726	Talk:Collagen
507249	507249	Talk:Unionism_in_Ireland
22552	22552	Talk:Oklahoma/Archive_2
309129	309129	Talk:Guitar_pick
373135	373135	Talk:Polish_notation
48006	48006	Talk:Nicotinamide
207693	1123964	Talk:Library_of_Congress_Country_Studies
94611	94611	Talk:Putney
423966	26671509	Talk:The_Call_of_the_Wild/Archive_1
423966	423966	Talk:The_Call_of_the_Wild
353726	353726	Talk:Eevee
292915	292915	Talk:Metafiction
232253	36252161	Talk:Crystal_radio/Archive_1
232253	232253	Talk:Crystal_radio
278628	278628	Talk:Jasper_County,_Illinois
96428	96428	Talk:Two-Spirit
416746	10298865	Talk:Elde
206083	206083	Talk:Erie_Von_Detten
338556	338556	Talk:Tube-dwelling_spider
313976	25251046	Talk:Peru/Archive_1
313976	46357645	Talk:Peru/Archive_2
313976	313976	Talk:Peru
247145	247145	Talk:Politics_of_Guam
237198	237198	Talk:Goethite
103815	103815	Talk:Davidson_County,_Tennessee
294816	28518139	Talk:Lactose_intolerance/Archive_1
294816	294816	Talk:Lactose_intolerance
506586	506586	Talk:Gwangju
85559	85559	Talk:December_25
279035	279035	Talk:Edmonson_County,_Kentucky
9990215	9990215	Talk:Gouania_vitifolia
96271	96271	Talk:Beaver_County,_Utah
461730	13382367	Talk:Katyn_massacre/Archive_1
461730	26875437	Talk:Katyn_massacre/Archive_2
461730	41654355	Talk:Katyn_massacre/Archive_3
461730	461730	Talk:Katyn_massacre
142643	3696228	Talk:Certification
341404	341404	Talk:List_of_cities_in_South_Africa
73636	22762931	Talk:List_of_mathematical_symbols/Archive_1
73636	73636	Talk:List_of_mathematical_symbols
278881	278881	Talk:Winnebago_County,_Iowa
340928	340928	Talk:The_Four_Spiritual_Laws
286268	161845	Talk:Self-publishing/Archive_1
286268	286268	Talk:Self-publishing
20652	20652	Talk:Marine
371146	371146	Talk:Aswan_Dam
410029	410029	Talk:UN_peacekeeping
488476	488476	Talk:Balarama
406033	14389094	Talk:Soham_murders/Archive_1
406033	406033	Talk:Soham_murders
279958	279958	Talk:Hooker_County,_Nebraska
443340	443340	Talk:The_People's_Voice
454442	454442	Talk:Tagged_union
103616	103616	Talk:Pickens_County,_South_Carolina
235413	235413	Talk:Mayo_Clinic
61147	61147	Talk:A_priori
356636	356636	Talk:Matchmaking
3720	3720	Talk:Byzantine_Empire/Archive_7
467071	6758584	Talk:Conflict_resolution
492162	492162	Talk:Simple_and_compound_intervals
496042	496042	Talk:May_1
334550	334550	Talk:Meal
188939	356958	Talk:Canonization
446129	446129	Talk:Cradle_of_humanity/Archive_1
156297	156297	Talk:Deep_Ecology
506369	506369	Talk:Ethology
237643	237643	Talk:National_Institute_of_Neurological_Disorders_and_Stroke
399043	399043	Talk:Growth_factor
37440	25395611	Talk:Strasbourg/Archive_1
37440	37440	Talk:Strasbourg
314024	13486602	Talk:Symbiosis/Archive_1
314024	314024	Talk:Symbiosis
368689	368689	Talk:James_Hogg
523239	5301296	Talk:Topics
263864	263864	Talk:Civil_War_in_Finland
279242	279242	Talk:Calvert_County,_Maryland
30667611	19872161	Talk:Johann_Strauss_II/Comments
30667611	22793412	Talk:Johann_Strauss_II/Archive_1
30667611	133396	Talk:Johann_Strauss_II
367723	367723	Talk:Organization_development
280527	280527	Talk:Data_Protection_Directive
424906	424906	Talk:Initial-stress-derived_noun
68234	26810719	Talk:Rabbit/Archive_1
68234	26821807	Talk:Rabbit/Archive_2
68234	68234	Talk:Rabbit
44997	44997	Talk:Planned_language
165875	165875	Talk:Index_of_Thailand-related_articles
162368	162368	Talk:Achaemenidae
350221	350221	Talk:Interaction
447639	447639	Talk:Safety_valve
79955	79955	Talk:Viola
30017218	30017218	Talk:United_States_Senate_election_in_Mississippi,_2000
313054	715827	Talk:White_nationalism/Archive_1
313054	9421186	Talk:White_nationalism/Archive_2
313054	9442733	Talk:White_nationalism/Archive_3
313054	30929518	Talk:White_nationalism/Archive_4
313054	313054	Talk:White_nationalism
291131	291131	Talk:Bus_stop
292454	292454	Talk:Spanish_football
96611	96611	Talk:Bandera_County,_Texas
143929	15387956	Talk:Explorer_(disambiguation)
32646	32646	Talk:Voyeurism
44707	44707	Talk:Harp
53419	47321634	Talk:Borda_count/Archive_1
53419	53419	Talk:Borda_count
444934	444934	Talk:Koko_(gorilla)
